date,omicronProportion,deltaProportion,othersProportion
2021-08-29,0,0.995463611121974,0.00453638887802588
2021-08-30,0,0.996005623308991,0.00399437669100922
2021-08-31,0,0.996443797577342,0.00355620242265775
2021-09-01,0,0.996787030474074,0.00321296952592631
2021-09-02,0,0.997044218546224,0.00295578145377562
2021-09-03,0,0.997224258340838,0.00277574165916172
2021-09-04,0,0.997336046404956,0.0026639535950439
2021-09-05,0,0.99738847928562,0.00261152071438031
2021-09-06,0,0.997390694440151,0.00260930555984917
2021-09-07,0,0.997354093035548,0.0026459069644521
2021-09-08,0,0.997291316550326,0.00270868344967412
2021-09-09,0,0.997215019167253,0.00278498083274659
2021-09-10,0,0.997137855069099,0.00286214493090098
2021-09-11,0,0.99707247843863,0.00292752156136944
2021-09-12,0,0.997031543458617,0.002968456541383
2021-09-13,0,0.997027410231895,0.00297258976810477
2021-09-14,0,0.997063978769848,0.00293602123015235
2021-09-15,0,0.997135623246731,0.00286437675326923
2021-09-16,0,0.997236209666681,0.00276379033331897
2021-09-17,0,0.997359604033834,0.00264039596616616
2021-09-18,0,0.997499672352326,0.00250032764767383
2021-09-19,0,0.997650280626294,0.00234971937370643
2021-09-20,0,0.997805294899496,0.00219470510050412
2021-09-21,0,0.997958591939064,0.00204140806093622
2021-09-22,0,0.998104073693468,0.00189592630653201
2021-09-23,0,0.998235645721961,0.00176435427803923
2021-09-24,0,0.998347213583792,0.00165278641620792
2021-09-25,0,0.998432682838213,0.00156731716178737
2021-09-26,0,0.998485959044474,0.0015140409555261
2021-09-27,0,0.998500947761826,0.0014990522381737
2021-09-28,0,0.998473421329976,0.00152657867002437
2021-09-29,0,0.9984089732206,0.00159102677939993
2021-09-30,0,0.998316415234883,0.00168358476511743
2021-10-01,0,0.998204561040785,0.00179543895921463
2021-10-02,0,0.998082224306272,0.00191777569372797
2021-10-03,0,0.997958218699305,0.00204178130069521
2021-10-04,0,0.997841357887847,0.00215864211215322
2021-10-05,0,0.99774032287098,0.00225967712901987
2021-10-06,0,0.99766206956554,0.00233793043445996
2021-10-07,0,0.99761234749116,0.00238765250883999
2021-10-08,0,0.997596881412929,0.00240311858707065
2021-10-09,0,0.997621396095938,0.00237860390406208
2021-10-10,0,0.997691616305275,0.00230838369472519
2021-10-11,0,0.99781326680603,0.00218673319396967
2021-10-12,0,0.9979918748756,0.00200812512440041
2021-10-13,0,0.998223343352068,0.00177665664793214
2021-10-14,0,0.998489812649879,0.00151018735012143
2021-10-15,0,0.998772364772868,0.00122763522713243
2021-10-16,0,0.999052081724874,0.000947918275126414
2021-10-17,0,0.999310045509732,0.00068995449026843
2021-10-18,0,0.99952733813128,0.000472661868719859
2021-10-19,0,0.999685045781494,0.000314954218506247
2021-10-20,0,0.999771475003109,0.000228524996890633
2021-10-21,0,0.999796966135477,0.000203033864523361
2021-10-22,0,0.999776047656437,0.000223952343562539
2021-10-23,0,0.999723248043834,0.000276751956166166
2021-10-24,0,0.999653095775508,0.00034690422449235
2021-10-25,0,0.999580119329301,0.000419880670698536
2021-10-26,0,0.999518847183057,0.000481152816943275
2021-10-27,0,0.999482043810917,0.000517956189082569
2021-10-28,0,0.999470171636542,0.000529828363458162
2021-10-29,0,0.999478454307173,0.000521545692827252
2021-10-30,0,0.999502096111987,0.000497903888012852
2021-10-31,0,0.999536301340162,0.000463698659837641
2021-11-01,0,0.999576274280875,0.000423725719124635
2021-11-02,0,0.999617219223304,0.00038278077669629
2021-11-03,0,0.999654439103324,0.000345560896676145
2021-11-04,0,0.999685086025728,0.000314913974271858
2021-11-05,0,0.999707954380175,0.000292045619824877
2021-11-06,0,0.999721895643533,0.000278104356466913
2021-11-07,0,0.999725761292671,0.000274238707329011
2021-11-08,0,0.999718402804457,0.000281597195542771
2021-11-09,0,0.99969867165576,0.000301328344239571
2021-11-10,0,0.999665452688249,0.000334547311750866
2021-11-11,0,0.999620888136651,0.000379111863348824
2021-11-12,0,0.999573065348747,0.000426934651252875
2021-11-13,0.000142762817419944,0.999530704367783,0.000326532814796887
2021-11-14,0.000172942340838946,0.999502525237005,0.000324532422155688
2021-11-15,0.00017883696259562,0.99949724799966,0.00032391503774476
2021-11-16,0.000150209461554106,0.999523592698992,0.000326197839453757
2021-11-17,0,0.999590279378249,0.000409720621751042
2021-11-18,0,0.999698124076994,0.00030187592300579
2021-11-19,0,0.999816326820064,0.000183673179936061
2021-11-20,0,0.999906183628614,9.38163713862794e-05
2021-11-21,0,0.999928990523798,7.10094762023106e-05
2021-11-22,0,0.99984604352677,0.000153956473229466
2021-11-23,0,0.999618638658687,0.00038136134131328
2021-11-24,0.000305160164499171,0.999208071940702,0.00048676789479829
2021-11-25,0.000906156938755773,0.998581486327412,0.00051235673383232
2021-11-26,0.00170363754283035,0.99776096539215,0.000535397065019927
2021-11-27,0.00264702933461988,0.996798695279634,0.000554275385745595
2021-11-28,0.00368545340333745,0.995747170468975,0.000567376127687647
2021-11-29,0.0047680308381947,0.99465888543928,0.000573083722524848
2021-11-30,0.00584388272841573,0.993586334669649,0.000569782601935187
2021-12-01,0.00686213016320858,0.992582012639194,0.000555857197597653
2021-12-02,0.00779974449229367,0.991669883319196,0.000530372188510708
